invoice,order_value
537035,11.6
537036,135.33
537037,256.90000000000003
537038,535.75
537040,734.3999999999999
537041,155.64000000000001
537042,238.11
537044,431.45
537045,126.42999999999999
537046,277.45
537047,326.59999999999997
537048,5.9
537049,277.65000000000003
537050,555.84
537051,350.68
537052,552.24
537053,275.8
537054,152.05
537055,273.29
537057,274.67
537058,351.43
537059,127.98
537065,1526.92
537067,27.45
537077,179.64
537081,1145.06
537086,438
537090,15
537111,180.44
537117,204
537126,475.86
537127,408
537128,211.74
537129,301.12
537130,114.65
537131,547.1
537133,206.23
537134,163.49
537135,722.36
537136,273.76
537137,535.6
537138,273.3
537139,33.15
537140,70.42
537141,517.65
537142,41.45
537144,343.28000000000003
537153,623.75
537154,1021.45
537155,75.64
537156,251.25
537158,184.8
537159,292.95
537160,283.15
537163,384.71999999999997
537176,131.5
537179,806.2800000000001
537192,211.8
537193,460.6
537194,271.2
537195,650.64
537196,411.42
537197,286.5
537198,85.5
537199,156.74
537200,112.9
537201,1631.3
537202,269.7
537204,198.43
537205,165.85999999999999
537206,85.55000000000001
537207,188.77
537208,297.92
537209,192.68
537210,209.84
537211,355.75
537212,473.39
537213,8.65
537214,1668.2
537215,358.56
537216,569.5
537217,167.2
537218,320.08
537219,423.52
537221,37.35
537222,133.48
537223,164.7
537224,1415.97
537225,496.48
537226,113.48
537227,922.4
537228,25.200000000000003
537229,17.4
537231,308.8
537233,353
537235,2567.64
537236,375.69
537238,164.2
537239,210.19
537241,364.92
537242,412.22
537243,50.400000000000006
537244,300.65999999999997
537245,58.2
537246,129.4
537247,223.68
537248,56.25
537249,33
537250,196.44
537254,382.69
537255,303.5
537256,2263.8
537257,142.5
537258,142.25
537262,611.51
537265,270.71999999999997
537298,153.5
537301,102.66
537312,311.24
537313,123.15
537332,322.8
537334,430.73
537335,98.7
537346,673.37
537350,419.06
537351,116.08
537354,133.07
537359,184.10000000000002
537360,76.32000000000001
537362,392.62
537365,449.95
537366,308.05
537367,25.200000000000003
537368,377.5
537369,252.8
537370,379.7
537371,185.97
537372,198.35
537374,381.64
537375,358.82
537376,480.68
537377,270.52
537378,784.15
537380,100.80000000000001
537381,511.56
537382,375.47
537384,122.7
537385,125.10000000000001
537386,20.85
537387,222.18
537388,391.5
537389,149
537390,123.24
537391,554.66
537392,166.15
537393,2415.04
537394,81.17999999999999
537395,150.22
537396,292.84
537397,244.20000000000002
537399,427.74
537400,422.81
537403,30.45
537404,56.85
537405,406.69
537407,192.7
537409,406.16
537410,151.20000000000002
537412,177.60000000000002
537415,227.4
537418,137.11
537419,510.95
537420,335.3
537421,292.54
537422,217.54999999999998
537423,166
537424,92.55
537428,450.92
537429,82.12
537433,417.62
537435,221.5
537440,214.32
537441,540
537446,569.0300000000001
537447,151.3
537448,39.599999999999994
537456,1989.2400000000002
537457,1644.94
537458,293.45000000000005
537459,178.4
537460,326.4
537461,510
537462,172.65
537463,1033.52
537464,618.07
537465,454.6
537467,118.25
537468,415.46
537469,102
537470,111.25
537471,17.85
537472,111.54
537476,957.5
537484,1830.02
537489,511.79999999999995
537509,532.8000000000001
537523,159.55
537538,311.65
537567,181.12
537592,327.4
537593,571
537594,596.8
537595,118.32000000000001
537598,319
537599,19.9
537601,108.78
537603,373.49
537604,1381.92
537605,166.74
537606,631.65
537607,156.19
537608,444.42
537609,617.12
537612,322.3
537614,322.8
537615,139
537616,15.9
537617,177.26
537618,2022.16
537619,230.4
537620,97.8
537622,165.94
537623,383.93
537624,306.84000000000003
537625,87.5
537626,711.79
537627,713.88
537628,378.75
537629,356.87
537631,17.4
537634,231.9
537635,68.1
537636,172
537646,406.6
537648,402.61
537649,112.6
537650,289.35
537653,268.73
537655,111.15
537657,9639.12
537658,395.76
537659,15885.49
537664,46.8
537665,139.86
537667,326.4
537668,48.800000000000004
537669,164.25
537670,514.39
537671,328.45
537672,328.01
537673,522.7
537674,319.18
537676,258.9
537678,356.91
537680,253.24
537681,304.2
537682,99.6
537683,365.4
537685,204.87
537686,225
537688,702.1
537689,301.52
537690,329.36
537691,310.57
537692,671.21
537693,173.55
537694,158.25
537698,468.68
537700,309
537707,303.86
537738,287.08
537743,151.95
537751,38.8
537754,157.6
537755,411.44
537757,314.1
537758,105.72
537759,203.64000000000001
537760,307.82
537761,19.799999999999997
537762,569.4
537764,145.93
537765,215.88
537766,651.6
537767,350.4
537768,39
537769,205.64000000000001
537770,295.66
537771,450.92
537772,316.46
537773,382.27
537774,281
537775,910.14
537780,127.05
537781,513.6
537789,623.42
537791,147.39999999999998
537792,148.23000000000002
537793,2746.75
537794,414.43
537795,312.90000000000003
537796,405.16
537799,142.95
537800,69.78999999999999
537801,403.25
537802,692.94
537803,89.5
537804,130.64000000000001
537806,372.96999999999997
537808,251.09
537809,118.3
537810,23.85
537811,268.86
537813,376.3
537815,300.7
537816,129.75
537817,168.6
537818,1149.29
537819,397.59999999999997
537822,566.95
537825,222.5
537826,272.34000000000003
537827,63
537828,478.89
537829,525.8
537830,197.8
537831,106.77000000000001
537833,590
537836,103.68
537837,313.72
537840,305.45
537841,320
537842,159.51
537843,171.15
537844,190.34
537845,71.4
537846,201.60000000000002
537847,180.4
537848,180
537849,75
537850,318.84
537851,356.4
537852,2671.27
537854,154.8
537855,263.25
537859,670.55
537861,120.65
537862,111.53
537863,5.95
537864,336.94
537865,237.95
537866,676.1
537867,307.25
537868,1867.98
537871,167.09
537879,213.3
537880,365.8
537881,956.5
537882,141.95
537883,63
537884,525.93
537885,258.75
537886,209.3
537887,1485.72
537888,524.35
537889,670.48
537890,100.2
537891,88.8
537892,159.38
537894,464.61
537895,429.24
537896,258.95
537897,213.88
537898,364.4
537899,3794.4
537900,382.66
537901,309.4
537915,254.03
537955,371.7
537963,308.28000000000003
537967,57.6
537981,1335.2
537995,295.1
538000,101.9
538002,363.53
538003,1281.5
538005,832.8
538006,163.2
538007,174.4
538008,849.2
538009,945.55
538010,226.79999999999998
538011,257.22
538012,224.38
538013,114.79
538014,656.7
538015,224.07
538032,174.4
538035,372.09
538037,112.6
538040,325.76
538048,181
538049,18.4
538050,15.9
538051,205.35
538053,1571.32
538056,249.65
538057,316.82
538063,1914.24
538064,111.75
538065,428.6
538067,165.65
538068,300.92
538069,414.88
538070,103.7
538073,16.21
538076,272.36
538077,686.15
538078,374.25
538079,394.18
538080,251
538086,378.53000000000003
538087,60
538093,739.05
538094,186.03
538095,174.72
538097,315
538101,230.1
538104,190.35
538106,72.82000000000001
538107,155
538108,249.86
538113,289.85
538116,685
538117,60
538120,144.5
538125,30
538126,218.4
538145,383.07
538146,402.32
538147,15
538151,441.6
538155,182.02
538156,620.35
538157,119.65
538163,257.95
538165,185.82
538166,119.45
538167,298.95
538168,318.7
538169,93.45
538170,317.59000000000003
538171,300.64
538172,370.8
538174,1982.4099999999999
538175,378
538176,402
538178,157.9
538179,17.700000000000003
538180,369.09999999999997
538181,151.5
538182,115.08000000000001
538183,651.83
538184,458.92
538185,188.98
538186,201.75
538187,218.10000000000002
538190,127.9
538191,5375.28
538192,135
538193,67.5
538194,0.95
538195,337.5
538196,1071.9
538197,124.1
538198,919.8
538199,182.25
538200,95.25
538201,203.1
538202,274.73
538203,186.6
538204,428.76
538205,336.16
538206,236.92
538207,271.47
538208,111.8
538209,185.06
538210,523.86
538211,239.7
538216,254.4
538240,247.56
538248,139.68
538250,132.65
538252,219.1
538255,1156.05
538260,300.65000000000003
538263,228.12
538268,116.89999999999999
538279,686.16
538280,612.1
538283,10.29
538288,1.9
538296,309.40000000000003
538306,202.5
538307,213.26
538308,363.24
538309,114.45
538310,25.799999999999997
538311,311.95
538312,272.82
538313,1136.3200000000002
538327,401.92
538342,39.95
538343,385.58000000000004
538345,106.4
538346,756.45
538347,317.5
538352,173.7
538353,3762.66
538354,2157.64
538355,9.9
538356,966.62
538361,158
538363,156.65
538364,102.35
538365,338.6
538366,275.3
538367,664.01
538368,147.09
538369,283.28000000000003
538370,550.5
538371,350.24
538374,193.22
538378,346.90000000000003
538379,212.6
538382,214.24
538397,3590.59
538403,324.22
538409,126.28
538417,106.75
538418,172.71
538419,170.91
538420,293.76000000000005
538421,110.91
538437,110.10000000000001
538449,452.99
538453,330.92
538470,11.6
538473,177.66
538488,212.07999999999998
538497,168.35999999999999
538499,388.65
538501,11.9
538503,513.64
538504,168.15
538507,767.37
538508,863.39
538509,122.7
538510,169.47
538511,214.74
538512,135.4
538513,179.1
538514,835.95
538515,1393.56
538516,204
538517,320.28
538518,1050.3500000000001
538519,31.3
538521,339.40000000000003
538522,539.2
538523,384.55
538525,881.01
538526,1206.72
538527,418.92
538528,103.5
538529,777.5600000000001
538532,318.85
538533,357.60999999999996
538534,40.8
538535,127
538537,347.71
538541,540.95
538557,27.8
538558,309.71999999999997
538565,1.9
538567,302.1
538576,166.22
538591,310.8
538592,230.1
538593,476.76
538594,218.1
538596,168
538597,171.04
538625,1121.92
538626,767.6
538629,223.48
538630,1167.41
538631,689.04
538633,129.57
538634,491.24
538635,250.04
538636,676.54
538637,244.19
538638,232.01
538639,243
538640,145
538641,1485.78
538644,12.45
538645,310.74
538646,346.14
538648,760.32
538651,280.94
538652,476.96
538653,1247.64
538654,91.9
538655,109.71
538656,97.63
538657,201.4
538658,125.2
538659,585.53
538660,1228.4
538661,309.05
538662,1822.88
538663,38.1
538664,1695.12
538665,177.35
538667,1.9
538668,110.7
538669,0.95
538671,365.55
538679,150.68
538683,462.3
538685,15
538687,650.1
538688,148.36
538689,300.92
538697,102
538706,312.4
538707,167.86
538708,365.27
538709,151.66
538710,198.95000000000002
538714,275.45
538715,325.22
538716,17.4
538719,60
538721,11.8
538722,307.39
538744,215.32
538753,134.65
538783,976.7
538785,206
538795,293.85
538796,304.5
538797,10.5
538799,706.25
538800,193.9
538801,337.98
538807,252.62
538808,632.52
538809,306.52
538810,140.4
538811,710
538812,74.25
538814,324.72
538815,179.87
538816,479.35
538817,301.2
538826,1590.82
538827,2594.7599999999998
538828,231.84
538829,326.4
538830,146.46
538831,337.6
538832,413.79
538836,234.85999999999999
538839,305.79
538841,170.55
538843,154.05
538844,1194.52
538845,92.82000000000001
538846,11
538848,1188
538849,875.1800000000001
538850,147.35
538851,310.85
538852,198.07
538853,214.76999999999998
538854,357.09999999999997
538855,488.09000000000003
538856,293.4
538857,152.4
538858,951.24
538859,658.2
538860,115.35
538862,149.5
538863,341.66
538864,360.06
538865,91.15
538866,647.99
538868,824.02
538869,61.050000000000004
538870,85.75
538871,476.70000000000005
538872,304.90000000000003
538875,307.8
538878,267
538879,338.97999999999996
538886,411.4
538888,125.56
538890,362.79
538892,17.4
538894,202.45
538895,247.38
538896,302.78
538899,123.1
538900,366.77
538901,238.65
538902,306.18
538903,501.01
538905,303.15000000000003
538907,202.79999999999998
538908,346.8
538909,97.5
538910,165.85
538917,684.26
538935,186.64
538942,101.23
538943,253.2
538944,201.20000000000002
538945,1761.26
538951,206.29
538967,354.48
538968,303.57
538991,3240.4
538992,428.82
538993,101.2
538994,422.7
538995,1185.8600000000001
538996,332.1
538998,2605.88
538999,1181
539000,185.45000000000002
539001,102
539002,269.31
539004,336.98
539005,20.4
539006,102.28
539007,105.88
539008,307.8
539009,498.16
539010,247.91
539011,67.24
539012,1305.6
539014,343.26
539015,440.2
539016,571.48
539017,15.8
539018,283.53000000000003
539019,306.84
539030,755.3000000000001
539032,74.4
539033,228.6
539034,209.65
539036,300.87
539038,308.37
539039,1256.32
539040,171.05
539041,243.22
539042,209.08
539043,392.34000000000003
539044,1536.85
539046,295.2
539047,219.6
539048,80.64
539049,1048.64
539050,195.89000000000001
539051,14.85
539052,17.700000000000003
539053,203.6
539056,1.45
539064,58.7
539075,227.22
539076,391
539077,314.55
539078,379.68
539079,271.05
539080,404.82
539082,205.8
539083,32.25
539084,190.35
539085,164.64
539086,397.96
539087,1168.2
539088,1827.91
539089,186
539091,163.8
539092,527.04
539093,196.60000000000002
539094,157.35
539095,300.46
539096,313.2
539098,395.16
539099,403.61
539101,6930
539102,1431.6
539103,933.32
539105,212.33
539106,920.52
539107,211.2
539108,204
539109,1491
539111,217.2
539112,328.77
539113,4.949999999999999
539118,270.19
539142,164.6
539143,46.45
539144,889.32
539160,311.64
539181,135.44
539185,216.34
539196,750.64
539201,322.01
539211,430.28
539212,298.25
539213,150.06
539214,141.3
539215,210.75
539216,16.15
539217,587.66
539218,3.75
539219,114
539222,305.7
539225,1491.46
539226,147.75
539240,843.78
539243,172.20000000000002
539246,104.48
539247,228.5
539248,133.56
539249,314.1
539250,1085.46
539252,377.52
539254,243.11999999999998
539255,308.21999999999997
539256,468.07
539257,1722.9
539259,301.44
539261,424.49
539262,351.3
539263,332.18
539264,310.48
539266,131.3
539267,253.5
539268,29.7
539269,46.85
539272,97.24000000000001
539275,403.8
539280,76.55
539281,476.35
539282,131.4
539283,250.65
539285,105.54
539286,252.20000000000002
539288,5.5
539290,133.22
539292,304.9
539293,501.69
539294,356.35
539295,348.8
539296,75.78
539297,147.9
539298,136.25
539299,218.85
539303,436.86
539304,302.40000000000003
539305,320.15
539306,112.15
539307,2054.92
539308,250.45999999999998
539309,279.85
539310,15
539311,357.94
539312,556.5
539313,312.98
539314,540.45
539315,230.70000000000002
539316,97.3
539317,312.41
539318,892.8
539319,292.5
539320,707.0600000000001
539321,220.06
539322,126.9
539324,124.50999999999999
539325,357.01
539326,408.17
539327,198.3
539328,300.04
539330,277.2
539331,216
539332,144
539333,311.19
539334,25.95
539335,320.1
539336,115.9
539338,2646.3
539351,168
539353,463.5
539374,347.01
539379,177.15
539391,291.34
539395,1484.25
539398,29.700000000000003
539400,53.400000000000006
539401,792.99
539403,224.8
539404,108.92
539405,919.04
539406,214.2
539407,170.28
539408,183.74
539410,102
539411,258.7
539414,212.61
539415,316.58
539416,29.43
539417,72
539418,135.12
539419,415.7
539420,158.16
539421,753.74
539422,190.55
539423,148.95
539435,180
539439,323.62
539440,250
539442,311.15000000000003
539443,668.88
539444,1241.43
539445,323.38
539446,858
539447,333.82
539450,196.75
539452,741.22
539454,196.78
539455,121.02
539456,190.65
539459,334.84000000000003
539460,33
539461,259.55
539462,315.56
539463,191.46
539464,218.05
539465,2062.44
539466,469.87
539468,663.8000000000001
539469,283.52
539470,279.88
539471,246.70000000000002
539472,31.62
539473,411.1
539474,12.8
539475,364.98
539477,365.73
539478,193.64
539483,99.5
539484,947.1899999999999
539487,215.01
539488,1001.52
539489,311.7
539490,306.15000000000003
539491,70.96
539496,269.5
539497,286.95
539498,290.51
539501,287.45
539502,383.52
539551,286.6
539561,339.72
539564,756.12
539567,101.76
539570,327.6
539571,15.9
539572,433.5
539578,1440
539579,344.11
539580,289.74
539581,455.6
539586,962.24
539587,754.16
539588,138.85
539590,832.0799999999999
539591,237.6
539592,14.85
539593,776.95
539594,239.4
539597,61.2
539604,102
539607,1084.59
539609,221.4
539610,109.88
539628,182.52
539629,239.9
539630,751
539633,73.80000000000001
539634,144.5
539635,728.0400000000001
539636,631.96
539637,112.68
539639,37.67
539641,134.14
539642,242.92000000000002
539645,0.95
539646,28.5
539647,216.76
539653,658.38
539654,1689.1200000000001
539658,302.95
539659,842.9
539660,9.2
539662,117.60000000000001
539663,396.85
539664,25.200000000000003
539666,479.4
539675,114.60000000000001
539676,237.93
539688,150
539716,148
539717,65.4
539720,97.84
539721,324
539722,762.3000000000001
539723,434
539724,382.5
539725,182.19
539727,71.28
539728,1141.24
539730,193.15
539731,8520.92
539732,29.700000000000003
539752,383.7
539754,69.29
539755,45.35
539760,424.17
539761,662.9
539762,500
539764,433.5
539766,351.08
539826,615.6
539828,23.8
539829,110.39999999999999
539831,108.63000000000001
539835,318.75
539836,135.34
539837,222.6
539840,600.72
539858,610.8
539859,192.4
539864,134.55
539865,344.88
539867,172.25
539920,390.95
539921,20.3
539933,529.59
539946,128.7
539953,12.35
539954,121.62
539957,1262.85
539978,354.64
539981,300.42
539982,256.61
539984,289.84999999999997
539985,968.77
539987,6.95
539988,353.69
539993,307.3
540001,474.66
540002,310.28
540003,368.8
540004,76.32000000000001
540005,190.56
540013,299.6
540014,339.68
540015,510.89
540016,168.3
540017,215.41
540019,413.68
540020,109.3
540021,516.97
540022,388.71999999999997
540023,794.66
540024,23.8
540025,323.04
540027,363.66
540028,284.6
540029,90
540031,431.88
540032,299.92
540033,871.48
540040,547.56
540043,173.39000000000001
540059,385.8
540060,203.1
540073,644.13
540093,112.3
540094,312.95
540095,201.94
540096,476.47999999999996
540098,160.38
540099,733.92
540113,323.87
540114,243.4
540115,112.65
540120,969.36
540121,366.06
540122,1179.6
540126,1209.1
540130,393.9
540146,261.5
540148,364.8
540149,481.7
540153,331.6
540157,1145.33
540159,72
540160,2574.48
540161,152.45
540162,95.65
540163,958.93
540166,660
540167,125.86
540168,445.22
540169,229.75
540170,170.4
540172,138.98
540173,116
540174,102
540175,1910.4
540176,3862.14
540178,556.07
540179,481.14
540180,107.89
540181,199.44
540182,229.56
540183,1220.4
540184,119.3
540185,344.81
540187,653.86
540188,296.66
540239,835.11
540240,417.81
540242,511.95
540245,379.44
540247,1048.85
540248,583.45
540249,305.74
540251,12.75
540253,1263.72
540257,238.55
540258,682.8
540259,417.3
540260,771.29
540261,730.88
540262,242.55
540263,169.8
540264,432
540265,253.1
540267,7011.38
540268,1489.18
540269,186
540273,563.15
540274,211.8
540275,1520.11
540276,1520.11
540277,3120.22
540278,433.04
540279,35.400000000000006
540280,143
540288,785.65
540316,464.82
540345,621.9
540348,224.11
540349,660.15
540350,108.45
540351,319.77
540353,499.89
540354,623.68
540357,1374.46
540358,369.14
540359,377.7
540361,304.2
540362,162.70000000000002
540363,185.1
540364,317.06
540365,479.25
540370,76.32000000000001
540371,309.55
540372,3527.64
540373,307.35
540374,303.36
540383,406.77000000000004
540387,175.15
540395,237.65
540396,969.24
540397,236.02
540399,9.3
540401,797.5999999999999
540402,557.56
540404,301.66
540405,582
540406,495
540407,427.47
540408,637.5
540409,504.25
540410,387.40000000000003
540411,311.07
540412,303
540413,331.55
540414,603.09
540415,523.05
540416,149.41
540420,207.25
540452,325.44
540453,302.45
540454,368.52
540455,730.16
540456,188
540457,102.5
540458,2169.39
540459,479.1
540460,104.76
540461,122.1
540462,434.95
540463,334.93
540464,1429.9
540465,83.7
540466,306
540467,300.54
540469,1138.67
540471,688.45
540472,335.8
540473,716.11
540475,141.48
540477,304.24
540478,2970
540479,135.9
540480,816.25
540481,165.88
540482,285.28000000000003
540489,559.85
540493,300.74
540496,328.54
540498,268.8
540499,365.2
540500,390.29999999999995
540501,753.26
540502,625.0400000000001
540504,208.56
540505,313.15
540506,282.25
540507,1933.2
540508,146.55
540509,537.99
540510,104.25
540511,334.26
540512,142.24
540513,422.4
540514,431.77000000000004
540515,182.78
540516,267.2
540517,157.09
540518,97.5
540519,413.68
540520,195.45
540521,114
540522,301.28
540523,340.94
540524,660.36
540525,309.48
540526,229.48
540528,136.05
540529,479
540530,488.46
540531,119.49000000000001
540532,221.7
540533,141.05
540534,25.2
540536,145.5
540537,110.17999999999999
540538,279.02
540539,557.07
540540,169.35
540541,320.21999999999997
540542,78.2
540543,380.68
540544,73.5
540545,401.49
540546,686.48
540547,258
540548,179.1
540550,1715.85
540552,376.7
540553,344.93999999999994
540554,240.45000000000002
540557,81.6
540561,326.78000000000003
540562,337.39
540563,175.2
540565,102
540566,185.97
540567,332.41
540568,646.54
540595,326.82
540604,311.71
540630,217.75
540635,456.96999999999997
540636,212
540639,566.84
540640,167.6
540641,279.3
540642,1238.06
540644,827.1800000000001
540645,402.65999999999997
540647,1248.32
540648,969.87
540649,404.12
540653,250
540662,500.48
540664,263
540671,322.53000000000003
540672,780.42
540680,434.04
540682,64.14
540687,237.19
540688,234
540689,12797.52
540690,241.26
540691,1508.66
540692,352.51
540697,369
540698,4314.0199999999995
540700,462.5
540701,602.4399999999999
540702,140.49
540703,511.46
540704,302.57
540732,144.12
540750,153.9
540753,69.7
540768,670.8000000000001
540769,144.26
540770,145.75
540777,110.95
540779,252.42000000000002
540782,184.2
540785,3417.1200000000003
540789,871.1999999999999
540794,153.6
540795,355.8
540797,8.5
540798,727.36
540799,15.3
540800,302.36
540801,1147.18
540802,418.48
540803,426.9
540809,374.75
540813,415.55
540815,15160.900000000001
540816,364.91
540817,347.95
540818,7837.5
540819,23.85
540822,24.95
540823,288.5
540824,252.54
540825,62.13
540826,447.28
540827,344.14
540829,113.64
540834,1578.31
540835,154.9
540838,425.1
540839,255.38
540840,108.67
540842,60
540844,71.5
540849,492.65000000000003
540851,102.95
540855,445.6
540856,812.25
540857,314
540858,92.4
540859,438.67
540862,202.35
540866,575.18
540900,250.65
540906,366.12
540907,1358.29
540908,721.9200000000001
540915,311.67
540939,2.46
540940,214.18
540943,220.32999999999998
540945,0.85
540946,547.5
540947,747.0600000000001
540951,676.6
540953,220.85
540954,174.15
540955,137.95
540957,342.46
540968,770.75
540970,197.65
540971,651.16
540972,392.7
540974,112.08
540975,289.7
540976,919.98
540979,554.75
540980,255.25
540981,287.46000000000004
540983,1289.5
540984,148.35
540985,105.54
540986,408.29
540990,258.41
540991,307.05
540992,436.23
540993,201.19
540994,704.59
540996,104
540997,130.85
540998,289.5
540999,1431.28
541001,165
541002,188.69
541003,301.11
541004,171.46
541005,200.25
541006,323.15000000000003
541008,72.26
541010,195.13
541011,155.17
541012,271.09000000000003
541013,397.78999999999996
541014,222.97
541015,226.37
541018,310.26
541021,898.5
541038,301.14
541043,250
541086,353.7
541087,205.75
541088,692.82
541091,342.15000000000003
541093,753.4499999999999
541094,336.07
541103,596.0600000000001
541105,660
541106,259.2
541107,328.92
541108,76.32000000000001
541109,14.95
541110,342.61
541111,353.5
541112,386.05
541113,174.14999999999998
541114,175.2
541115,1608.66
541119,127.80000000000001
541120,864.22
541121,225.9
541122,284.62
541123,534.57
541124,131.39999999999998
541125,47.5
541126,281.88
541134,643.6
541135,179.10000000000002
541136,359.9
541137,332.64
541138,700.31
541139,313.2
541149,177.00000000000003
541172,345.84999999999997
541181,100.2
541202,448.95
541203,302.76
541204,322.58
541205,430.7
541206,10389.06
541207,361.5
541208,272.64
541213,570.07
541214,487.7
541215,1547.58
541216,416.54
541217,111.9
541218,142.82
541220,16774.72
541223,254.54
541224,201.9
541225,234.62
541226,214.20000000000002
541227,349.2
541228,45
541236,3.35
541238,391.1
541239,487.9
541240,161.3
541241,191.94
541242,58.190000000000005
541243,69.6
541244,270.34
541246,22.200000000000003
541247,810
541248,8.52
541249,120.73
541250,35.28
541251,258.25
541252,203.3
541253,277.39
541255,4.25
541256,477.61
541258,362
541259,282.6
541260,145
541262,297.66
541263,759.0600000000001
541264,147.85
541265,430.04
541266,969.95
541267,613.22
541268,221.44
541269,1096
541270,155.95
541271,431.3
541272,110.45
541273,189.5
541274,493.45
541275,121.20000000000002
541276,165
541277,220.9
541278,167.4
541279,635.8
541280,1199.33
541281,64.99000000000001
541282,895.5
541283,170.46
541285,805.45
541286,475.2
541287,751.5999999999999
541288,264.65
541289,208.32
541290,103.56
541291,305.81
541292,375.15
541293,394.57
541294,157.2
541302,304.02
541316,111.35
541357,146.85
541362,311.48
541370,287.1
